127.0.0.1 - - [13/Dec/2017:19:57:25 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:26 +0900] "GET /WebProejct/index.jsp HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:26 +0900] "GET /WebProejct/RESOUCE/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:26 +0900] "GET /WebProejct/IMAGE/food.jpg HTTP/1.1" 200 75008
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:26 +0900] "GET /WebProejct/RESOUCE/css/indexjsp.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:26 +0900] "GET /WebProejct/RESOUCE/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:36 +0900] "GET /WebProejct/index.jsp HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:36 +0900] "GET /WebProejct/RESOUCE/css/indexjsp.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:36 +0900] "GET /WebProejct/RESOUCE/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:36 +0900] "GET /WebProejct/RESOUCE/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:57:36 +0900] "GET /WebProejct/IMAGE/food.jpg HTTP/1.1" 200 75008
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:06 +0900] "GET /WebProejct/RESOUCE/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:17 +0900] "GET /WebProejct/index.jsp HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:17 +0900] "GET /WebProejct/RESOUCE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:20 +0900] "GET /WebProejct/index.jsp HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:20 +0900] "GET /WebProejct/RESOUCE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:20 +0900] "GET /WebProejct/IMAGE/food.jpg HTTP/1.1" 200 75008
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:20 +0900] "GET /WebProejct/RESOUCE/css/indexjsp.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:20 +0900] "GET /WebProejct/RESOUCE/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:24 +0900] "GET /WebProejct/user_signup.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:58:46 +0900] "GET /WebProejct/user_signup.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [13/Dec/2017:19:59:20 +0900] "GET /WebProejct/RESOUCE/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
